iter	RMSE
0	117.9078013
1	114.1196501
2	110.3894875
3	106.8396605
4	103.6724105
5	100.3686664
6	96.96597698
7	93.71250149
8	91.13600716
9	88.25693003
10	85.85950543
11	83.31851453
12	80.89148302
13	78.61946457
14	76.61494606
15	74.5426437
16	72.8818894
17	71.12849941
18	69.32869435
19	67.39415029
20	65.72330839
21	64.4337846
22	63.07417574
23	61.9778788
24	60.62017586
25	59.42419065
26	58.19867515
27	57.16920261
28	56.09160356
29	55.07061575
30	54.03693826
31	53.11768985
32	52.24038127
33	51.39809994
34	50.52883383
35	49.75720672
36	49.13510986
37	48.46264573
38	47.68389725
39	47.00100482
40	46.43158216
41	45.83526484
42	45.27867249
43	44.81682295
44	44.29785526
45	43.67228813
46	43.13957202
47	42.62011633
48	42.12254446
49	41.73271273
50	41.30479012
51	40.83569938
52	40.47915945
53	40.10993252
54	39.77102733
55	39.45520323
56	39.06111031
57	38.73822954
58	38.46181386
59	38.17442576
60	37.86346873
61	37.55244269
62	37.31420111
63	37.08991461
64	36.86502234
65	36.60930819
66	36.38107682
67	36.20283756
68	35.98055385
69	35.74410326
70	35.57529314
71	35.37684487
72	35.15799179
73	34.97289873
74	34.80647294
75	34.61772412
76	34.45213376
77	34.30205367
78	34.10701834
79	33.9372732
80	33.76975734
81	33.61802363
82	33.460175
83	33.31100848
84	33.21292241
85	33.0849084
86	32.96740071
87	32.82864425
88	32.73401929
89	32.61950989
90	32.51526295
91	32.36923498
92	32.27870082
93	32.19416948
94	32.08758922
95	31.97928251
96	31.81298697
97	31.72384891
98	31.62063292
99	31.53008551
100	31.44623295
101	31.33301024
102	31.25213302
103	31.13341656
104	31.06649436
105	31.02960557
106	30.9476059
107	30.88148291
108	30.82425466
109	30.71172543
110	30.64665774
111	30.59359572
112	30.51724892
113	30.44054824
114	30.36542749
115	30.30201171
116	30.2214178
117	30.15180763
118	30.10404189
119	30.01140144
120	29.95315671
121	29.89934932
122	29.81710683
123	29.77178509
124	29.70377016
125	29.63599311
126	29.58959157
127	29.533719
128	29.50418482
129	29.45949583
130	29.36421875
131	29.31333549
132	29.25648864
133	29.1686553
134	29.11011008
135	29.07664944
136	29.0348324
137	28.98469982
138	28.94436919
139	28.90522435
140	28.83416384
141	28.78533999
142	28.73115032
143	28.69151517
144	28.64844238
145	28.60897078
146	28.562291
147	28.5035257
148	28.45912568
149	28.4003205
150	28.35480366
151	28.30572066
152	28.26625825
153	28.21479114
154	28.15619816
155	28.13064987
156	28.06855321
157	28.03052113
158	27.99686545
159	27.96012096
160	27.90863014
161	27.84417607
162	27.81222542
163	27.7696666
164	27.7136535
165	27.68712735
166	27.63193861
167	27.58135284
168	27.55939621
169	27.52491903
170	27.46752322
171	27.41838688
172	27.39468982
173	27.32921324
174	27.29339558
175	27.26545102
176	27.23231696
177	27.20711032
178	27.16324145
179	27.11250877
180	27.05315315
181	26.98494376
182	26.94636372
183	26.88725535
184	26.83395281
185	26.78152366
186	26.72595676
187	26.69181026
188	26.64960582
189	26.61705087
190	26.55154567
191	26.51862712
192	26.50307424
193	26.44195442
194	26.4097849
195	26.35821498
196	26.29249456
197	26.24790033
198	26.22276849
199	26.17446822
200	26.14954694
201	26.09639672
202	26.04157514
203	26.00936533
204	25.95740167
205	25.9423564
206	25.9164059
207	25.87863537
208	25.78245992
209	25.738398
210	25.69682782
211	25.65010927
212	25.63136774
213	25.5912598
214	25.54940379
215	25.52783886
216	25.47203017
217	25.41235078
218	25.39006352
219	25.34291783
220	25.27449975
221	25.21903966
222	25.18219822
223	25.12771553
224	25.09036971
225	25.07199703
226	25.03370996
227	24.97516487
228	24.91445236
229	24.86626248
230	24.82134071
231	24.79098611
232	24.74162079
233	24.70048832
234	24.66636441
235	24.65103556
236	24.61648192
237	24.58004167
238	24.53277655
239	24.48409742
240	24.45093352
241	24.41672253
242	24.3990542
243	24.36639781
244	24.3330379
245	24.28220277
246	24.25159267
247	24.23459215
248	24.20661685
249	24.1797206
250	24.15384138
251	24.11719521
252	24.07344275
253	24.03767029
254	24.01676117
255	23.97903897
256	23.94278165
257	23.91575911
258	23.87121507
259	23.82507006
260	23.80656048
261	23.79096881
262	23.78112424
263	23.76967133
264	23.74973057
265	23.71875794
266	23.67873335
